Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
limpki,Limpkin,Aramus guarauna,2021-07-28 09:24,1.0,27.908878700000002,-81.1642027,S92413827,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 08:59,1.0,33.4808517,-84.30019859999999,S92413687,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 08:55,1.0,27.6630729,-82.4998085,S92424432,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 08:00,1.0,26.505246500000002,-80.1397812,S92559528,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 07:00,2.0,26.8405153,-80.1664022,S92419530,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-28 06:53,1.0,27.040271399999998,-81.6780495,S92435654,1,2021,7,28,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 20:04,3.0,28.044069,-81.9518495,S92397571,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 19:47,1.0,28.290989,-81.397614,S92395581,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 17:59,1.0,28.228577,-80.76046590000001,S92399506,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 09:50,1.0,26.1156777,-80.23916240000001,S92383256,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 09:45,3.0,30.39726,-90.42913,S92374486,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 08:32,3.0,26.1469438,-80.62913420000001,S92368663,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 08:30,1.0,28.097613,-81.73274520000001,S92398018,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 08:24,1.0,27.724806899999997,-82.6501069,S92373877,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 08:14,2.0,27.443315899999998,-81.28646850000001,S92372649,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 07:29,3.0,27.272623,-80.427361,S92363873,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-27 07:15,2.0,27.9808903,-82.69885740000001,S92367486,1,2021,7,27,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 15:59,4.0,27.9923609,-81.4062645,S92347380,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 14:51,2.0,30.474417,-84.237235,S92337200,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 14:07,1.0,27.573150599999998,-80.46875949999999,S92338076,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 12:06,1.0,28.371344,-81.51448,S92330708,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 10:32,1.0,28.225495399999996,-80.7144928,S92392388,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 08:46,1.0,28.3179822,-81.5405166,S92323359,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 08:45,1.0,28.376386800000002,-81.52295500000001,S92321065,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 08:13,1.0,27.9093,-81.2689,S92323655,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 08:01,1.0,26.375481,-81.60389599999999,S92327408,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-26 07:01,1.0,28.1271627,-81.47075770000001,S92317427,1,2021,7,26,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 19:17,2.0,26.826533299999998,-81.0767608,S92304219,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 18:34,1.0,26.449049100000003,-81.9471502,S92305701,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 18:10,2.0,27.884882,-82.251458,S92299148,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 15:39,1.0,27.3277717,-80.4516556,S92291945,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 15:33,2.0,27.254406,-80.48105,S92299718,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 14:21,4.0,29.1092685,-81.3752445,S92286979,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 13:45,1.0,27.815778,-82.6926434,S92293882,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 13:07,1.0,30.374022999999998,-81.7898762,S92284106,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 11:20,1.0,28.699689000000003,-81.413802,S92275909,1,2021,7,25,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-25 10:38,2.0,28.1877141,-82.6102781,S92274390,1,2021,7,25,Aramidae,No
